Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1972-01-01,3.38189877175666,3.42915522618439,0.0107905153636717,-1.96100689442687,-4.17354037567578,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1972-01-01,1.2055750862991,2.46861519265357,0.305837508171099
1972-04-01,2.46829140209444,2.52247252214841,-0.0114820071136352,-1.32970202010301,-3.28677716977674,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1972-04-01,1.24019306590211,2.49562535590759,0.302357669911753
1972-07-01,2.62586534554162,2.66561342746142,0.00537404638688119,-0.714577310080585,-3.92197282599143,,,1.63307633693544,-0.690094893743482,-0.0332770491381074,0.651503872538598,0.086172933433182,0.313426193675931,1.02902501461519,0.383108019034449,-0.132243732956041,0.983072516126373,18.8496254877832,1.72166609803053,1.67752662593598,0.942981443191959,,,1972-07-01,1.25066833012378,2.52031113333586,0.298973483308605
1972-10-01,2.77951089360455,2.80784152247922,0.0191990632168014,-0.100720931742444,-2.98755314839168,,,T Statistics,,,,,,,,,,,,,,,,1972-10-01,1.26065415245586,2.54275662382015,0.295693455173105
1973-01-01,3.35248967140111,3.37204167254959,0.037528179884795,0.158435881949117,-3.5380179134203,,,16.6048056329294,7.35756800531803,1.60324831433772,10.0124251616603,2.19534991493754,4.49657568697249,47.5894054712071,7.93081002464296,6.57686072763914,0.979072510254269,2.3849046776337,1.76197034315148,1.73728112513438,,,,1973-01-01,1.26761317981186,2.56270096521554,0.29248846059553
1973-04-01,3.0506846514917,3.06155755458636,0.040951563038787,1.14819088020135,-2.32874327490925,,,,,,,,,,,,,,,,,,,1973-04-01,1.28657006538769,2.58241798526195,0.289363489720175
1973-07-01,3.15463036601658,3.15741174884039,0.0506656536370916,1.5471530302832,-0.748341358313333,,,,,,,,,,,,,,,,,,,1973-07-01,1.30256230709475,2.6011264961433,0.286321123656512
1973-10-01,3.07053766715021,3.04498218423136,0.077099369737911,2.16276926335786,-0.279704184487575,,,Average Standard Errors,,,,,,,,,,,,,,,,1973-10-01,1.31993087343272,2.61947996880634,0.283346254698186
1974-01-01,3.05409075103307,2.98887296973772,0.115811880290907,2.58958574558937,-1.38447388995058,,,y*,r*,g,,,,,,,,,,,,,,1974-01-01,1.33514669591394,2.63743988905151,0.280384868303299
1974-04-01,2.78533780272464,2.72444082647475,0.107014904404691,2.80320829786024,-1.71787016959404,,,1.71119043319369,3.63862821321926,0.241054638065923,,,,,,,,,,,,,,1974-04-01,1.34873168033741,2.65622983014344,0.277405713432827
