Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,5.49349061554218,4.82875889510893,0.00302189633931762,-3.7555729160382,-3.6720619756827,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.43677044232571,1.28783689198707,0.541651072424098
1961-04-01,5.68239868433369,4.98979791494694,0.00882293489841629,-3.40755656922749,-3.81097788006785,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1961-04-01,1.44804869737737,1.27623097354223,0.529604441414042
1961-07-01,5.60903640644719,4.92309142689261,0.0113082803838743,-2.64021296632063,-3.77852083558897,,,1.38537984511496,-0.449005541969022,-0.0782618738918134,0.680428511600718,0.0705082106856784,0.453723828726389,0.787611138891984,0.49493825522553,-0.0834032042929012,1.13703517580142,9.0726814496891,1.79379514477779,1.66176565247992,0.936374303145938,,,1961-07-01,1.45597707734623,1.26553067153582,0.518876272104081
1961-10-01,5.59201059320089,4.9107190484663,0.00835029661661679,-1.93102788280373,-3.68120914272539,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.46062284099009,1.2558094650461,0.509054977886055
1962-01-01,5.4315194542335,4.76786434982396,0.0102899750340787,-1.11659253910921,-3.71704747478359,,,13.3099578941294,4.18897535690926,4.20389877061182,16.7724308596617,2.9400776548421,4.57978450552124,29.1454779723982,5.80072079335721,2.17624873230311,3.52007839985932,2.34451513935149,2.98495265202001,2.09906833907089,,,,1962-01-01,1.45699481559929,1.24753111197274,0.499665415304258
1962-04-01,4.90555735551365,4.31228551311083,0.00233703900774974,-0.527162400644215,-3.24387363530357,,,,,,,,,,,,,,,,,,,1962-04-01,1.44346975915916,1.24275134747989,0.490452527015695
1962-07-01,4.7926776603679,4.21646771369425,-0.00159444773346393,-0.191603207156504,-3.02706352764016,,,,,,,,,,,,,,,,,,,1962-07-01,1.43205454700154,1.23974883445388,0.481308190683499
1962-10-01,4.33007235798717,3.82474359858333,-0.0187956520233914,-0.0544638540720825,-2.50767608703999,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.43941032538532,1.24100494993328,0.472481640687843
1963-01-01,4.31426149869866,3.80605735396048,-0.013359593872102,0.154363831698333,-2.45627425773263,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.44308917044404,1.24334850119683,0.464362418729044
1963-04-01,4.27947905169684,3.77284746068791,-0.0103812240383986,0.428062476736955,-2.41454858691966,,,1.63640165332099,1.16579219981346,0.422541254873416,,,,,,,,,,,,,,1963-04-01,1.45208936393894,1.24678953879409,0.45727887925527
1963-07-01,4.61398038716718,4.05836863839668,-0.000527511059170807,0.862670657504509,-2.37255633268263,,,,,,,,,,,,,,,,,,,1963-07-01,1.43795103281878,1.24833972938543,0.450893962862511
1963-10-01,4.33862411153333,3.8134862452584,0.00255610823963823,1.27962867941869,-2.30090139365299,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.45618871630303,1.25309854320796,0.445581523533963
1964-01-01,4.65295650650888,4.08703185669744,0.00585752082288652,1.54206090117634,-2.70396916256917,,,Draws excluded:,,146,Total:,5000,,,,,,,,,,,,1964-01-01,1.44791462208454,1.2554534144762,0.440840131159164
1964-04-01,4.56295084037519,4.0224370199291,-0.0107015437300445,1.73971720273619,-2.53789317523197,,,Percent excluded:,,0.0283715507190051,,,,,,,,,,,,,,1964-04-01,1.45538076252651,1.25944936602619,0.436918281565236
1964-07-01,4.66488566379679,4.11837537824606,-0.0178520084234761,1.91861946068809,-2.53350628671556,,,Draws excluded because a_r > -0.0025:,,,,0,,,,,,,,,,,,1964-07-01,1.45760593273538,1.26306683411456,0.43352282773596
1964-10-01,4.39757926211116,3.89944014053996,-0.0362213436148131,1.88863266308715,-1.81630951254834,,,Draws excluded because b_y <  0.025:,,,,141,,,,,,,,,,,,1964-10-01,1.47212386554659,1.26986082793748,0.431394928861489
1965-01-01,4.79628786624387,4.23314820457461,-0.0169505467380981,2.1830260057568,-1.88812271907868,,,Draws excluded because a_y1 + a_y2 < 1:,,,,6,,,,,,,,,,,,1965-01-01,1.47355153070566,1.27173905835387,0.429220437557999
1965-04-01,4.7658138942922,4.2146913501479,-0.0264384259719559,2.40591335394959,-1.76176944322189,,,,,,,,,,,,,,,,,,,1965-04-01,1.4875432286289,1.27335237216839,0.427503509008972
1965-07-01,5.03506641356813,4.44917561596441,-0.0238027651013659,2.68392606524105,-2.06376825328884,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1965-07-01,1.51705049474247,1.27048774383505,0.425432100829218
1965-10-01,5.2665894156722,4.64904401332066,-0.0195371613224176,3.10916150669789,-2.27962838365476,,,lambda_g,0.0727695466617842,,,-587.789350155656,,,,,,,,,,,,1965-10-01,1.573349744428,1.2635099136184,0.422887933488631
1966-01-01,5.51282560983278,4.84416265006787,0.00484227940217173,3.70588096972017,-2.23503162396881,,,lambda_z,0.0206092077053792,,,,,,,,,,,,,,,1966-01-01,1.65453539607073,1.25295787759452,0.419872390887221
1966-04-01,5.24309541976273,4.57625998960234,0.0397268379722112,4.01641931929896,-2.08286003258926,,,,,,,,,,,,,,,,,,,1966-04-01,1.62813260644129,1.24556938577966,0.417579077483705
1966-07-01,5.22712671165933,4.55231715582582,0.0509819740810838,3.85450103299456,-2.04846849364935,,,,,,,,,,,,,,,,,,,1966-07-01,1.62963120970367,1.23773895991266,0.415478372712487
1966-10-01,5.20215910457583,4.5220057766148,0.0604794713875641,3.68996977645975,-2.3953212857824,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,1966-10-01,1.63776629800467,1.2295632757478,0.413506379171509
